,東京の平均気温,部屋の平均気温
9月26日,18.5,25.10708333
9月27日,19.70416667,25.21347222
9月28日,21.52916667,25.99111111
9月29日,19.73333333,25.89319444
9月30日,19.9875,25.86180556
10月1日,19.47083333,26.01277778
10月2日,21.03333333,25.5975
10月3日,21.68333333,26.00597222
10月4日,22.02916667,26.24111111
10月5日,21.6875,25.54736111
10月6日,20.97083333,25.49333333
10月7日,18.30416667,25.64486111
10月8日,14.74583333,25.80555556
10月9日,14.5125,24.57430556
10月10日,15.95416667,25.36777778
10月11日,19.80416667,25.50069444
10月12日,21.45,25.95763889
10月13日,22.07916667,25.22541667
10月14日,20.275,25.77513889
10月15日,16.82083333,25.62819444
10月16日,16.10833333,25.48180556
10月17日,12.73333333,25.85263889
10月18日,14.32916667,26.56777778
10月19日,13.13333333,26.05861111
10月20日,15.58333333,25.74277778
10月21日,16.0375,25.21694444
10月22日,17.4375,24.08055556
10月23日,16.84583333,24.02611111
10月24日,17.27916667,24.34694444
10月25日,15.50833333,25.46652778
10月26日,16.19166667,25.44666667
10月27日,16.68333333,25.37652778
10月28日,16.625,25.28597222
10月29日,17.275,24.37791667
10月30日,14.89166667,24.17694444
10月31日,13.84166667,23.47791667
11月1日,14.32916667,23.36611111
11月2日,15.5875,22.76097222
11月3日,14.84583333,22.38708333
11月4日,13.65833333,22.55305556
11月5日,13.40833333,22.94513889
11月6日,12.77826087,23.17847222
11月7日,15.53333333,23.05055556
11月8日,17.29166667,23.49222222
11月9日,13.54166667,23.06694444
11月10日,11.92083333,23.01027778
11月11日,11.8875,23.16972222
11月12日,10.15,22.65736111
11月13日,13.71666667,22.39222222
11月14日,14.65,22.46916667
11月15日,13.4375,22.70152778
11月16日,14.74583333,23.26611111
11月17日,15.24166667,22.46805556
11月18日,15.7875,22.02138889
11月19日,19.07916667,21.64125
11月20日,21.87083333,21.74097222
11月21日,16.6,22.87944444
11月22日,15.04583333,22.89763889
11月23日,15.54583333,21.55041667
11月24日,11.825,20.82861111
11月25日,10.47083333,20.43666667
11月26日,12.81666667,20.46847222
11月27日,11.6375,21.97916667
11月28日,11.8125,22.22902778
11月29日,10.12083333,22.44055556
11月30日,9.9,22.18194444
12月1日,10.225,22.38583333
12月2日,8.2,22.79458333
12月3日,8.05,23.63625
12月4日,9.216666667,23.95527778
12月5日,6.629166667,23.35013889
12月6日,8.158333333,23.21861111
12月7日,9.729166667,22.30916667
12月8日,11.4,21.41388889
12月9日,9.75,21.30027778
12月10日,9.291666667,21.14763889
12月11日,10.2,21.33986111
12月12日,11.39583333,21.52111111
12月13日,9.916666667,21.48069444
12月14日,8.454166667,20.74625
12月15日,6.0875,21.76902778
12月16日,4.583333333,21.72680556
12月17日,4.254166667,22.00972222
12月18日,6.066666667,21.48625
12月19日,5.8,22.28486111
12月20日,4.4125,21.30625
12月21日,5.325,20.38416667
12月22日,5.554166667,20.87333333
12月23日,7.745833333,19.89513889
12月24日,8.0125,19.90458333
12月25日,8.65,20.61736111
12月26日,6.416666667,20.59902778
12月27日,7.754166667,20.66722222
12月28日,8.533333333,18.99055556
12月29日,8.7375,18.24111111
12月30日,6.8875,17.77694444
12月31日,3.404166667,18.80722222
1月1日,4.441666667,21.20152778
1月2日,4.804166667,21.05194444
1月3日,3.7375,23.13805556
1月4日,5.758333333,19.87430556
1月5日,6.0375,19.96986111
1月6日,5.304166667,20.93847222
1月7日,6.320833333,22.92458333
1月8日,2.395833333,22.70375
1月9日,2.870833333,20.74486111
1月10日,2.5875,21.20277778
1月11日,2.308333333,20.59486111
1月12日,3.416666667,21.29805556
1月13日,5.758333333,23.01666667
1月14日,7.9125,22.34430556
1月15日,6.554166667,22.40486111
1月16日,10.04583333,22.17583333
1月17日,6.079166667,22.35986111
1月18日,4.308333333,20.45722222
1月19日,4.370833333,18.74152778
1月20日,3.929166667,20.37763889
1月21日,4.783333333,20.25569444
1月22日,8.679166667,22.15277778
1月23日,6.35,21.87805556
1月24日,4.3375,21.52416667
1月25日,7.570833333,20.30986111
1月26日,7.525,20.51027778
1月27日,10.275,20.14097222
1月28日,4.433333333,21.72958333
1月29日,5.3125,22.26680556
1月30日,4.120833333,21.85652778
1月31日,5.4,21.97527778
2月1日,7.220833333,21.72055556
2月2日,8.841666667,19.26305556
2月3日,6.204166667,21.78680556
2月4日,6.966666667,21.92319444
2月5日,7.095833333,21.95041667
2月6日,8.866666667,22.08736111
2月7日,9.916666667,22.56069444
2月8日,6.070833333,20.37847222
2月9日,4.720833333,21.40611111
2月10日,6.654166667,20.01444444
2月11日,8.654166667,21.5025
2月12日,7.829166667,22.01444444
2月13日,10.3875,21.39180556
2月14日,12.27916667,22.02861111
2月15日,11.4125,20.50083333
2月16日,10.6375,21.65986111
2月17日,7.591666667,22.37833333
2月18日,4.2875,19.78291667
2月19日,6.895833333,21.25208333
2月20日,10.15416667,22.23319444
2月21日,13.89166667,22.01944444
2月22日,14.9,20.18388889
2月23日,11.01666667,22.02652778
2月24日,6.441666667,22.72763889
2月25日,6.629166667,22.55097222
2月26日,8.708333333,22.91208333
2月27日,5.679166667,22.32055556
2月28日,6.625,21.36569444
3月1日,11.75833333,21.56777778
3月2日,13.5125,22.47194444
3月3日,7.425,21.66777778
3月4日,8.9625,20.26194444
3月5日,11.84166667,22.78611111
3月6日,13.75833333,23.01680556
3月7日,7.829166667,21.92180556
3月8日,6.608333333,22.29902778
3月9日,9.554166667,19.03694444
3月10日,12.0375,22.96416667
3月11日,9.920833333,20.90027778
3月12日,12.74583333,21.84152778
3月13日,11.12916667,21.86888889
3月14日,12.5375,20.43805556
3月15日,12.89583333,22.49458333
3月16日,14.5375,22.45902778
3月17日,13.6875,22.08152778
3月18日,12.275,21.12222222
3月19日,12.92083333,19.90763889
3月20日,14.12916667,19.91486111
3月21日,16.67916667,19.84013889
3月22日,12.06666667,20.67819444
3月23日,10.82916667,21.17861111
3月24日,13.77916667,20.45944444
3月25日,14.45,19.79902778
3月26日,14.4625,19.85222222
3月27日,13.69166667,20.07555556
3月28日,16.5,20.31486111
3月29日,17.54583333,20.8225
3月30日,17.76666667,21.54472222
3月31日,17.90833333,22.61347222
4月1日,16.6,22.49736111
4月2日,16.03333333,23.585
4月3日,16.94166667,23.52583333
4月4日,18.49166667,22.72375
4月5日,12.92083333,23.57763889
4月6日,10.55,23.49388889
4月7日,13.32083333,21.87013889
4月8日,13.30833333,20.98486111
4月9日,11.85833333,21.53652778
4月10日,10.3875,21.53458333
4月11日,12.525,20.35055556
4月12日,14.35416667,20.36305556
4月13日,15.74583333,20.25444444
4月14日,15.3,20.10291667
4月15日,10.70416667,20.91527778
4月16日,13.675,20.95236111
4月17日,15.725,20.85583333
4月18日,16.41666667,21.74388889
4月19日,15.7875,21.57291667
4月20日,17.21666667,21.84875
4月21日,19.09583333,22.43652778
4月22日,18.11666667,22.84847222
4月23日,13.79166667,22.81611111
4月24日,15.3125,22.80166667
4月25日,16.92083333,23.82083333
4月26日,13.425,23.35388889
4月27日,14.60416667,22.76958333
4月28日,18.2,22.20875
4月29日,17.18333333,23.21888889
4月30日,18.825,23.55305556
5月1日,17.67083333,23.75305556
5月2日,16.325,24.16680556
5月3日,16.40416667,23.72611111
5月4日,18.00833333,24.14652778
5月5日,18.3125,24.78833333
5月6日,18.5375,24.77527778
5月7日,17.47083333,24.46222222
5月8日,19.48333333,24.95625
5月9日,22.99583333,24.91291667
5月10日,20.21666667,23.49486111
5月11日,17.525,24.47444444
5月12日,17.925,24.65347222
5月13日,16.11666667,24.57958333
5月14日,20.825,24.44375
5月15日,21.24166667,24.54291667
5月16日,19.98333333,24.56458333
5月17日,22.99583333,24.60944444
5月18日,20.48333333,24.72541667
5月19日,17.15416667,25.08611111
5月20日,19.06666667,24.87888889
5月21日,21.70833333,24.73236111
5月22日,19.975,24.61472222
5月23日,19.6125,24.9425
5月24日,22.12083333,24.60513889
5月25日,22.36666667,24.72083333
5月26日,21.09583333,25.08944444
5月27日,16.9125,24.77486111
5月28日,20.52916667,24.88694444
5月29日,22.77916667,24.63652778
5月30日,21.2,24.90625
5月31日,20.57916667,24.95402778
6月1日,20.10416667,25.10736111
6月2日,21.99583333,25.3625
6月3日,22.10833333,25.43486111
6月4日,20.975,25.43847222
6月5日,22.13333333,25.43777778
6月6日,21.72083333,24.48236111
6月7日,23.35416667,24.27444444
6月8日,24.7875,25.03569444
6月9日,24.47083333,25.66375
6月10日,24.07916667,26.09347222
6月11日,23.69166667,26.39347222
6月12日,23.29583333,25.92125
6月13日,24.2875,25.21986111
6月14日,21.00416667,26.00722222
6月15日,23.35833333,26.45958333
6月16日,22.2375,27.15361111
6月17日,21.8,27.47611111
6月18日,22.8375,27.27944444
6月19日,20.27916667,25.55541667
6月20日,22.79166667,23.30486111
6月21日,22.8875,24.0275
6月22日,23.11666667,25.86569444
6月23日,22.0375,25.19513889
6月24日,22.84583333,24.53083333
6月25日,23.32916667,24.03166667
6月26日,24.2,23.41847222
6月27日,23.7125,24.15833333
6月28日,24.37083333,24.67208333
6月29日,21.87916667,24.02861111
6月30日,20.57083333,24.23305556
7月1日,20.8875,23.87291667
7月2日,21.19166667,23.77097222
7月3日,22.17083333,23.43416667
7月4日,20.125,24.05458333
7月5日,22.14583333,24.38694444
7月6日,24.74583333,24.35208333
7月7日,25.8125,24.43972222
7月8日,23.65416667,25.45861111
7月9日,23.50833333,25.73291667
7月10日,26.97916667,24.45888889
7月11日,24.70833333,25.24180556
7月12日,25.775,25.61833333
7月13日,25.475,25.92569444
7月14日,25.2875,26.36319444
7月15日,26.35,26.46736111
7月16日,27.71666667,25.83083333
7月17日,27.375,24.64027778
7月18日,28.10416667,24.27805556
7月19日,29.18333333,24.81888889
7月20日,28.77083333,25.47944444
7月21日,28.40833333,24.56736111
7月22日,28.40416667,23.77375
7月23日,28.35,24.74805556
7月24日,28.52083333,25.78680556
7月25日,28.45833333,25.48555556
7月26日,27.52083333,26.055
7月27日,24.925,26.45611111
7月28日,27.6875,25.87569444
7月29日,27.79583333,25.28486111
7月30日,25.77083333,25.37722222
7月31日,27.5,25.59847222
8月1日,28.725,25.54180556
8月2日,28.59583333,25.94680556
8月3日,28.96666667,26.54833333
8月4日,29.45,25.48444444
8月5日,29.05,25.53166667
8月6日,29.1125,25.38458333
8月7日,27.92916667,24.76180556
8月8日,25.9375,24.0275
8月9日,28.14583333,24.20722222
8月10日,30.975,24.65194444
8月11日,29.2,25.31916667
8月12日,26.04583333,25.87347222
8月13日,22.49583333,26.26152778
8月14日,22.34166667,26.06291667
8月15日,19.34166667,25.54194444
8月16日,20.675,24.98805556
8月17日,23.65416667,25.12444444
8月18日,27.02916667,24.83375
8月19日,28.54166667,24.78583333
8月20日,28.65416667,25.30916667
8月21日,27.9375,25.64152778
8月22日,28.45833333,25.34083333
8月23日,26.85,25.67791667
8月24日,27.52083333,25.57222222
8月25日,29.41666667,25.78944444
8月26日,30.47083333,26.10777778
8月27日,30.03333333,26.25958333
8月28日,29.83333333,25.82194444
8月29日,28.54166667,25.53666667
8月30日,29.2125,25.89166667
8月31日,26.88333333,26.23138889
9月1日,20.70833333,26.14611111
9月2日,19.37916667,25.65
9月3日,19.74583333,25.60041667
9月4日,20.61666667,25.35347222
9月5日,21.01666667,24.55972222
9月6日,19.90833333,24.17986111
9月7日,20.4,22.89347222
9月8日,20.30416667,24.37763889
9月9日,20.52916667,24.70611111
9月10日,24.8,25.56972222
9月11日,25.02083333,25.75458333
9月12日,24.38333333,24.49638889
9月13日,25.22916667,26.13513889
9月14日,22.8,26.24986111
9月15日,22.89166667,26.24527778
9月16日,22.29166667,26.13388889
9月17日,22.2625,26.12930556
9月18日,23.73333333,25.46680556
9月19日,23.89166667,24.94791667
9月20日,22.41666667,26.15625
9月21日,22.73333333,25.43569444
9月22日,24.92083333,25.69319444
9月23日,26.56666667,25.91763889
9月24日,25.375,24.7275
9月25日,22.07083333,25.65944444
9月26日,19.89166667,25.27777778
,,
